"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Country-wise Workers' Remittances","31-Aug-2025","TS_GP_BOP_WR_M.WR0040","......3 Saudi Arabia","736.6861568","Million USD","Normal","","40","Workers' remittances received from Saudi Arabia"
"Country-wise Workers' Remittances","31-Aug-2025","TS_GP_BOP_WR_M.WR0050","......4 U.A.E.","642.9298254","Million USD","Normal","","50","Workers' remittances received from U.A.E."
"Country-wise Workers' Remittances","31-Aug-2025","TS_GP_BOP_WR_M.WR0060","............. Dubai","436.6720099","Million USD","Normal","","60","Workers' remittances received from Dubai"
"Country-wise Workers' Remittances","31-Aug-2025","TS_GP_BOP_WR_M.WR0070","............. Abu Dhabi","180.0469827","Million USD","Normal","","70","Workers' remittances received from Abu Dhabi"
"Country-wise Workers' Remittances","31-Aug-2025","TS_GP_BOP_WR_M.WR0080","............. Sharjah","12.39211861","Million USD","Normal","","80","Workers' remittances received from Sharjah"
"Country-wise Workers' Remittances","31-Aug-2025","TS_GP_BOP_WR_M.WR0090","............. Others","13.81871418","Million USD","Normal","","90","Workers' remittances received from Other four U.A.E.'s States"
"Country-wise Workers' Remittances","31-Aug-2025","TS_GP_BOP_WR_M.WR0100","......5 Other GCC Countries","303.8619216","Million USD","Normal","","100","Workers' remittances received from Other GCC Countries excluding Saudi Arabia & U.A.E."
"Country-wise Workers' Remittances","31-Aug-2025","TS_GP_BOP_WR_M.WR0110","............. Bahrain","43.05650547","Million USD","Normal","","110","Workers' remittances received from Bahrain"
"Country-wise Workers' Remittances","31-Aug-2025","TS_GP_BOP_WR_M.WR0120","............. Kuwait","66.95841756","Million USD","Normal","","120","Workers' remittances received from Kuwait"
"Country-wise Workers' Remittances","31-Aug-2025","TS_GP_BOP_WR_M.WR0130","............. Qatar","85.9341027","Million USD","Normal","","130","Workers' remittances received from Qatar"
"Country-wise Workers' Remittances","31-Aug-2025","TS_GP_BOP_WR_M.WR0140","............. Oman","107.9128959","Million USD","Normal","","140","Workers' remittances received from Oman"
"Country-wise Workers' Remittances","31-Aug-2025","TS_GP_BOP_WR_M.WR0150","......6 EU Countries","432.6725944","Million USD","Normal","","150","Workers' remittances received from ten European Countries"
"Country-wise Workers' Remittances","31-Aug-2025","TS_GP_BOP_WR_M.WR0160","............. Germany","64.12793965","Million USD","Normal","","160","Workers' remittances received from Germany"
"Country-wise Workers' Remittances","31-Aug-2025","TS_GP_BOP_WR_M.WR0170","............. France","50.2497269","Million USD","Normal","","170","Workers' remittances received from France"
